dataset,model,balanced_accuracy,runtime_seconds_per_fold
TCGA-BRCA,integrao,0.8516,244.3215
TCGA-BRCA,logreg_early,0.8173,1113.8485
TCGA-BRCA,logreg_late,0.8383,610.5476
TCGA-BRCA,mofa,0.7146,1431.5312
TCGA-BRCA,pca_logreg,0.8359,1.1305
TCGA-BRCA,pnet,0.7743,332.433
TCGA-BRCA,svm_early,0.732,949.8168
TCGA-KIPAN,integrao,0.8592,289.7475
TCGA-KIPAN,logreg_early,0.9351,4054.2468
TCGA-KIPAN,logreg_late,0.9531,2705.7771
TCGA-KIPAN,mofa,0.6638,233.1912
TCGA-KIPAN,pca_logreg,0.8892,0.6426
TCGA-KIPAN,pnet,0.9076,1.1168
TCGA-KIPAN,svm_early,0.8797,3963.5556
TCGA-LGG,integrao,0.6665,187.864
TCGA-LGG,logreg_early,0.6765,2203.8145
TCGA-LGG,logreg_late,0.6898,1626.3892
TCGA-LGG,mofa,0.6672,2933.1914
TCGA-LGG,pca_logreg,0.6567,0.2617
TCGA-LGG,pnet,0.6707,104.1413
TCGA-LGG,svm_early,0.6498,2262.1103
