dataset,method,class,support,prevalence,precision,recall,specificity,f1,roc_auc_ovr,pr_auc_ovr,n_evaluation_units
TCGA-BRCA,integrao,0,83.1,0.539,0.911 +/- 0.005,0.824 +/- 0.006,0.904 +/- 0.005,0.864 +/- 0.006,0.951 +/- 0.003,0.958 +/- 0.003,3
TCGA-BRCA,logreg_early,0,111.5,0.539,0.877 +/- 0.004,0.860 +/- 0.004,0.860 +/- 0.005,0.867 +/- 0.004,0.943 +/- 0.001,0.943 +/- 0.001,3
TCGA-BRCA,logreg_late,0,111.5,0.539,0.889 +/- 0.004,0.846 +/- 0.004,0.878 +/- 0.004,0.862 +/- 0.004,0.937 +/- 0.002,0.937 +/- 0.002,3
TCGA-BRCA,mofa,0,112.1,0.539,0.856 +/- 0.006,0.672 +/- 0.006,0.884 +/- 0.002,0.738 +/- 0.008,0.864 +/- 0.006,0.861 +/- 0.005,3
TCGA-BRCA,pca_logreg,0,110.9,0.539,0.902 +/- 0.003,0.833 +/- 0.005,0.893 +/- 0.004,0.866 +/- 0.004,0.949 +/- 0.002,0.954 +/- 0.001,3
TCGA-BRCA,pnet,0,112.1,0.539,0.822 +/- 0.011,0.916 +/- 0.011,0.761 +/- 0.019,0.865 +/- 0.002,0.889 +/- 0.014,0.841 +/- 0.028,3
TCGA-BRCA,svm_early,0,111.9,0.539,0.780 +/- 0.003,0.755 +/- 0.004,0.843 +/- 0.004,0.760 +/- 0.004,0.904 +/- 0.002,0.896 +/- 0.001,3
TCGA-KIPAN,integrao,0,83.5,0.596,0.933 +/- 0.008,0.900 +/- 0.002,0.901 +/- 0.014,0.914 +/- 0.003,0.941 +/- 0.003,0.946 +/- 0.006,3
TCGA-KIPAN,logreg_early,0,106.6,0.595,0.967 +/- 0.001,0.959 +/- 0.002,0.951 +/- 0.002,0.963 +/- 0.001,0.987 +/- 0.002,0.990 +/- 0.003,3
TCGA-KIPAN,logreg_late,0,106.6,0.595,0.980 +/- 0.001,0.954 +/- 0.005,0.972 +/- 0.001,0.966 +/- 0.003,0.988 +/- 0.002,0.992 +/- 0.001,3
TCGA-KIPAN,mofa,0,107.1,0.595,0.868 +/- 0.002,0.654 +/- 0.012,0.860 +/- 0.003,0.731 +/- 0.010,0.786 +/- 0.006,0.839 +/- 0.004,3
TCGA-KIPAN,pca_logreg,0,106.1,0.595,0.935 +/- 0.003,0.931 +/- 0.003,0.903 +/- 0.004,0.932 +/- 0.002,0.977 +/- 0.004,0.982 +/- 0.004,3
TCGA-KIPAN,pnet,0,106.5,0.595,0.947 +/- 0.013,0.969 +/- 0.006,0.919 +/- 0.020,0.957 +/- 0.004,0.991 +/- 0.002,0.991 +/- 0.005,3
TCGA-KIPAN,svm_early,0,107.0,0.595,0.943 +/- 0.000,0.924 +/- 0.003,0.916 +/- 0.002,0.928 +/- 0.002,0.970 +/- 0.001,0.977 +/- 0.001,3
TCGA-LGG,integrao,0,43.2,0.473,0.636 +/- 0.006,0.692 +/- 0.010,0.641 +/- 0.005,0.660 +/- 0.007,0.750 +/- 0.007,0.709 +/- 0.011,3
TCGA-LGG,logreg_early,0,43.2,0.473,0.645 +/- 0.010,0.700 +/- 0.021,0.653 +/- 0.003,0.669 +/- 0.014,0.743 +/- 0.012,0.696 +/- 0.014,3
TCGA-LGG,logreg_late,0,43.2,0.473,0.648 +/- 0.005,0.749 +/- 0.011,0.630 +/- 0.003,0.693 +/- 0.007,0.753 +/- 0.008,0.703 +/- 0.011,3
TCGA-LGG,mofa,0,43.2,0.473,0.621 +/- 0.005,0.745 +/- 0.004,0.589 +/- 0.005,0.675 +/- 0.004,0.727 +/- 0.006,0.683 +/- 0.010,3
TCGA-LGG,pca_logreg,0,43.2,0.473,0.623 +/- 0.010,0.693 +/- 0.014,0.621 +/- 0.015,0.653 +/- 0.010,0.715 +/- 0.010,0.657 +/- 0.016,3
TCGA-LGG,pnet,0,43.2,0.473,0.649 +/- 0.007,0.677 +/- 0.035,0.665 +/- 0.018,0.656 +/- 0.019,0.740 +/- 0.007,0.694 +/- 0.011,3
TCGA-LGG,svm_early,0,43.2,0.473,0.605 +/- 0.007,0.721 +/- 0.012,0.579 +/- 0.003,0.649 +/- 0.008,0.733 +/- 0.009,0.691 +/- 0.012,3
