dataset,method,smallest_feature_fraction_within_1sd,balanced_accuracy_at_that_point,macro_f1_at_that_point,best_balanced_accuracy
TCGA-BRCA,logreg_early,0.05,0.842,0.8404,0.8463
TCGA-BRCA,logreg_late,0.05,0.868,0.8613,0.868
TCGA-BRCA,mofa,0.05,0.7594,0.7294,0.7594
TCGA-BRCA,pnet,0.01,0.8151,0.8232,0.8173
TCGA-BRCA,svm_early,0.05,0.7509,0.7314,0.7509
TCGA-KIPAN,logreg_early,0.2,0.9523,0.9461,0.9523
TCGA-KIPAN,logreg_late,0.2,0.965,0.9518,0.965
TCGA-KIPAN,mofa,0.01,0.8028,0.7407,0.8028
TCGA-KIPAN,svm_early,0.01,0.902,0.8803,0.902
TCGA-LGG,logreg_early,0.0001,0.6911,0.6862,0.6992
TCGA-LGG,logreg_late,0.25,0.6988,0.6954,0.7145
TCGA-LGG,mofa,0.1,0.6889,0.6813,0.6889
TCGA-LGG,pnet,0.001,0.6751,0.6704,0.6908
TCGA-LGG,svm_early,0.0001,0.6619,0.6354,0.6619
