metric,method_a,method_b,mean_diff,ci_lo,ci_hi,n_units,wilcoxon_p,p_fdr
balanced_accuracy,logreg_early,svm_early,0.031,0.0207,0.0413,9,0.0039,0.0137
balanced_accuracy,logreg_early,pca_logreg,0.0157,-0.0027,0.0327,9,0.1289,0.2082
balanced_accuracy,logreg_early,logreg_late,-0.0174,-0.0208,-0.0138,9,0.0039,0.0137
balanced_accuracy,logreg_early,pnet,0.0216,0.0117,0.0321,9,0.0195,0.0513
balanced_accuracy,logreg_early,mofa,0.1175,0.032,0.2105,9,0.0039,0.0137
balanced_accuracy,logreg_early,integrao,0.0181,-0.0121,0.0488,9,0.4258,0.526
balanced_accuracy,svm_early,pca_logreg,-0.0153,-0.0435,0.0121,9,0.4258,0.526
balanced_accuracy,svm_early,logreg_late,-0.0484,-0.0596,-0.0383,9,0.0039,0.0137
balanced_accuracy,svm_early,pnet,-0.0094,-0.0224,0.0049,9,0.2031,0.3047
balanced_accuracy,svm_early,mofa,0.0866,-0.0107,0.1886,9,0.8203,0.9557
balanced_accuracy,svm_early,integrao,-0.0129,-0.053,0.028,9,0.4258,0.526
balanced_accuracy,pca_logreg,logreg_late,-0.0331,-0.0501,-0.0158,9,0.0078,0.0234
balanced_accuracy,pca_logreg,pnet,0.0059,-0.0134,0.03,9,0.9102,0.9557
balanced_accuracy,pca_logreg,mofa,0.1019,0.0321,0.1801,9,0.0547,0.0957
balanced_accuracy,pca_logreg,integrao,0.0024,-0.0108,0.0172,9,1.0,1.0
balanced_accuracy,logreg_late,pnet,0.039,0.0276,0.0504,9,0.0039,0.0137
balanced_accuracy,logreg_late,mofa,0.135,0.0506,0.2287,9,0.0039,0.0137
balanced_accuracy,logreg_late,integrao,0.0355,0.006,0.0664,9,0.0547,0.0957
balanced_accuracy,pnet,mofa,0.096,0.0115,0.186,9,0.0273,0.0638
balanced_accuracy,pnet,integrao,-0.0035,-0.0375,0.0272,9,0.9102,0.9557
balanced_accuracy,mofa,integrao,-0.0995,-0.1632,-0.04,9,0.0547,0.0957
macro_f1,logreg_early,svm_early,0.0445,0.0298,0.0582,9,0.0039,0.0091
macro_f1,logreg_early,pca_logreg,0.0174,0.0026,0.0313,9,0.0547,0.082
macro_f1,logreg_early,logreg_late,-0.0123,-0.015,-0.0093,9,0.0039,0.0091
macro_f1,logreg_early,pnet,0.0051,0.0012,0.0104,9,0.0547,0.082
macro_f1,logreg_early,mofa,0.141,0.0486,0.2438,9,0.0039,0.0091
macro_f1,logreg_early,integrao,0.029,0.0005,0.0603,9,0.2031,0.2509
macro_f1,svm_early,pca_logreg,-0.027,-0.0548,0.0018,9,0.0742,0.1039
macro_f1,svm_early,logreg_late,-0.0568,-0.071,-0.0412,9,0.0039,0.0091
macro_f1,svm_early,pnet,-0.0393,-0.0509,-0.0262,9,0.0039,0.0091
macro_f1,svm_early,mofa,0.0965,-0.0105,0.2128,9,0.4258,0.4706
macro_f1,svm_early,integrao,-0.0154,-0.057,0.0305,9,0.7344,0.7711
macro_f1,pca_logreg,logreg_late,-0.0298,-0.0428,-0.0159,9,0.0039,0.0091
macro_f1,pca_logreg,pnet,-0.0123,-0.0284,0.0058,9,0.2031,0.2509
macro_f1,pca_logreg,mofa,0.1236,0.0422,0.2154,9,0.0547,0.082
macro_f1,pca_logreg,integrao,0.0116,-0.005,0.0303,9,0.8203,0.8203
macro_f1,logreg_late,pnet,0.0175,0.0127,0.0227,9,0.0039,0.0091
macro_f1,logreg_late,mofa,0.1533,0.0636,0.2559,9,0.0039,0.0091
macro_f1,logreg_late,integrao,0.0414,0.0136,0.0721,9,0.0195,0.0373
macro_f1,pnet,mofa,0.1359,0.0424,0.2397,9,0.0039,0.0091
macro_f1,pnet,integrao,0.0239,-0.0074,0.0571,9,0.4258,0.4706
macro_f1,mofa,integrao,-0.112,-0.1839,-0.0461,9,0.0195,0.0373
